adorer,je,indicatif,présent,adore
adorer,tu,indicatif,présent,adores
adorer,il,indicatif,présent,adore
adorer,elle,indicatif,présent,adore
adorer,on,indicatif,présent,adore
adorer,nous,indicatif,présent,adorons
adorer,vous,indicatif,présent,adorez
adorer,ils,indicatif,présent,adorent
adorer,elles,indicatif,présent,adorent
aimer,je,indicatif,présent,aime
aimer,tu,indicatif,présent,aimes
aimer,il,indicatif,présent,aime
aimer,elle,indicatif,présent,aime
aimer,on,indicatif,présent,aime
aimer,nous,indicatif,présent,aimons
aimer,vous,indicatif,présent,aimez
aimer,ils,indicatif,présent,aiment
aimer,elles,indicatif,présent,aiment
allumer,je,indicatif,présent,allume
allumer,tu,indicatif,présent,allumes
allumer,il,indicatif,présent,allume
allumer,elle,indicatif,présent,allume
allumer,on,indicatif,présent,allume
allumer,nous,indicatif,présent,allumons
allumer,vous,indicatif,présent,allumez
allumer,ils,indicatif,présent,allument
allumer,elles,indicatif,présent,allument
arriver,je,indicatif,présent,arrive
arriver,tu,indicatif,présent,arrives
arriver,il,indicatif,présent,arrive
arriver,elle,indicatif,présent,arrive
arriver,on,indicatif,présent,arrive
arriver,nous,indicatif,présent,arrivons
arriver,vous,indicatif,présent,arrivez
arriver,ils,indicatif,présent,arrivent
arriver,elles,indicatif,présent,arrivent
apporter,je,indicatif,présent,apporte
apporter,tu,indicatif,présent,apportes
apporter,il,indicatif,présent,apporte
apporter,elle,indicatif,présent,apporte
apporter,on,indicatif,présent,apporte
apporter,nous,indicatif,présent,apportons
apporter,vous,indicatif,présent,apportez
apporter,ils,indicatif,présent,apportent
apporter,elles,indicatif,présent,apportent
bavarder,je,indicatif,présent,bavarde
bavarder,tu,indicatif,présent,bavardes
bavarder,il,indicatif,présent,bavarde
bavarder,elle,indicatif,présent,bavarde
bavarder,on,indicatif,présent,bavarde
bavarder,nous,indicatif,présent,bavardons
bavarder,vous,indicatif,présent,bavardez
bavarder,ils,indicatif,présent,bavardent
bavarder,elles,indicatif,présent,bavardent
casser,je,indicatif,présent,casse
casser,tu,indicatif,présent,casses
casser,il,indicatif,présent,casse
casser,elle,indicatif,présent,casse
casser,on,indicatif,présent,casse
casser,nous,indicatif,présent,cassons
casser,vous,indicatif,présent,cassez
casser,ils,indicatif,présent,cassent
casser,elles,indicatif,présent,cassent
cesser,je,indicatif,présent,cesse
cesser,tu,indicatif,présent,cesses
cesser,il,indicatif,présent,cesse
cesser,elle,indicatif,présent,cesse
cesser,on,indicatif,présent,cesse
cesser,nous,indicatif,présent,cessons
cesser,vous,indicatif,présent,cessez
cesser,ils,indicatif,présent,cessent
cesser,elles,indicatif,présent,cessent
chanter,je,indicatif,présent,chante
chanter,tu,indicatif,présent,chantes
chanter,il,indicatif,présent,chante
chanter,elle,indicatif,présent,chante
chanter,on,indicatif,présent,chante
chanter,nous,indicatif,présent,chantons
chanter,vous,indicatif,présent,chantez
chanter,ils,indicatif,présent,chantent
chanter,elles,indicatif,présent,chantent
chercher,je,indicatif,présent,cherche
chercher,tu,indicatif,présent,cherches
chercher,il,indicatif,présent,cherche
chercher,elle,indicatif,présent,cherche
chercher,on,indicatif,présent,cherche
chercher,nous,indicatif,présent,cherchons
chercher,vous,indicatif,présent,cherchez
chercher,ils,indicatif,présent,cherchent
chercher,elles,indicatif,présent,cherchent
créer,je,indicatif,présent,crée
créer,tu,indicatif,présent,crées
créer,il,indicatif,présent,crée
créer,elle,indicatif,présent,crée
créer,on,indicatif,présent,crée
créer,nous,indicatif,présent,créons
créer,vous,indicatif,présent,créez
créer,ils,indicatif,présent,créent
créer,elles,indicatif,présent,créent
danser,je,indicatif,présent,danse
danser,tu,indicatif,présent,danses
danser,il,indicatif,présent,danse
danser,elle,indicatif,présent,danse
danser,on,indicatif,présent,danse
danser,nous,indicatif,présent,dansons
danser,vous,indicatif,présent,dansez
danser,ils,indicatif,présent,dansent
danser,elles,indicatif,présent,dansent
déjeuner,je,indicatif,présent,déjeune
déjeuner,tu,indicatif,présent,déjeunes
déjeuner,il,indicatif,présent,déjeune
déjeuner,elle,indicatif,présent,déjeune
déjeuner,on,indicatif,présent,déjeune
déjeuner,nous,indicatif,présent,déjeunons
déjeuner,vous,indicatif,présent,déjeunez
déjeuner,ils,indicatif,présent,déjeunent
déjeuner,elles,indicatif,présent,déjeunent
demander,je,indicatif,présent,demande
demander,tu,indicatif,présent,demandes
demander,il,indicatif,présent,demande
demander,elle,indicatif,présent,demande
demander,on,indicatif,présent,demande
demander,nous,indicatif,présent,demandons
demander,vous,indicatif,présent,demandez
demander,ils,indicatif,présent,demandent
demander,elles,indicatif,présent,demandent
dépenser,je,indicatif,présent,dépense
dépenser,tu,indicatif,présent,dépenses
dépenser,il,indicatif,présent,dépense
dépenser,elle,indicatif,présent,dépense
dépenser,on,indicatif,présent,dépense
dépenser,nous,indicatif,présent,dépensons
dépenser,vous,indicatif,présent,dépensez
dépenser,ils,indicatif,présent,dépensent
dépenser,elles,indicatif,présent,dépensent
dessiner,je,indicatif,présent,dessine
dessiner,tu,indicatif,présent,dessines
dessiner,il,indicatif,présent,dessine
dessiner,elle,indicatif,présent,dessine
dessiner,on,indicatif,présent,dessine
dessiner,nous,indicatif,présent,dessinons
dessiner,vous,indicatif,présent,dessinez
dessiner,ils,indicatif,présent,dessinent
dessiner,elles,indicatif,présent,dessinent
